Number,Question,RE
1,Most of the time I have difficulty concentrating on simple tasks,1
2,I don't feel like doing my daily duties,1
3,My friends or family have told me that I look different,1
4,When I think about the future it is difficult for me to imagine it clearly,1
5,People around me often ask me how I feel,1
6,I consider that my life is full of good things,0
7,My hobbies are still important to me,0
8,I'm still as punctual as I have always been,0
9,"If I had the chance, I would spend all day in my bed",1
10,I have found that I can spend a lot of time scrolling the screen of my cell phone without searching or stopping at anything in particular,1
11,"When someone asks me something, I have noticed that I take longer than normal to respond",1
12,I have noticed my body shaken without any cause,1
13,I felt more encouraged to do my daily activities before,1
14,Sometimes I wake up sad and I can't explain why,1
15,In recent months I usually reproach myself for things from the past,1
16,I think my thoughts are strange or different from before,1
17,I feel guilty about the decisions that I have made,1
18,I don't feel as comfortable with my body as I did before,1
19,I don't feel successful compared to others,1
20,It is difficult for me to make decisions even if they are simple,1
21,I'm capable of achieving what I propose to myself,0
22,It is not difficult for me to understand something the first time,0
23,I have thought more than before about what my death would be like,1
24,Being dead seems to be a solution to some problems,1
25,I would rather stay home than go out with my friends,1
26,I like to attend family gatherings,0
27,I feel excited when thinking about my life project,0
28,The decisions I have made so far have been the right ones,0
29,I am able to carry out my activities as I have always been,0
30,I like to be in touch with my friends and family through social media,0
31,It is easy for me to choose a photograph of myself to show it on social media,0
32,I am proud of what I have achieved so far,0
33,I have trouble remembering things easily,1
34,In recent months I have had discussions with my schoolmates or colleagues,1
35,I constantly imagine that something will go wrong at my work or at school,1
36,I am afraid of being worng when doing my homework,1
37,I'm not too worried about what might happen in a few weeks,0
38,Lately it's hard for me to calm down,1
39,Everything will be alright,0
40,I can easily blank my mind,0
41,I am bothered by insignificant things that were not important before,1
42,I find it uncomfortable to be in a crowded place,1
43,Sometimes i feel trapped,1
44,I am easily frightened by unexpected noises,1
45,I have difficulties to do one task at a time,1
46,I have the feeling that I am forgetting to do something,1
47,I can clearly express to others how I feel,0
48,I can sleep easily,0
49,I enjoy every moment of the day,0
50,I imagine that at any moment a disaster of the nature may occur,1
51,Sometimes I feel like I get tired easily,1
52,Being locked in an elevator would be the worst thing that could happen to me,1
53,I'm bothered by people walking slowly in front of me ,1
54,I don't usually get upset if something doesn't go as expected,0
55,Sometimes it is as if some conversations with friends or family become interrogations,1
56,I manage my schedule as I always have,0
57,It bothers me to feel that people on the street approach me,1
58,I have no difficulty understanding what people explain to me,0
59,I consider that I am good at controlling my emotions,0
60,In new situations I feel calm and encouraged,0
61,Sometimes I forget what I wanted to say because I have several thoughts at the same time,1
62,I would like to know what will happen in the future,1
63,When I get angry I can easily explode,1
64,I can put down my cell phone and dedicate myself to reading without distractions,0
65,I worry that people will not understand what I mean.,1
66,Sometimes I do not listen to what people say to me because I am thinking about other things,1
67,I get angry easily,1
68,I'm afraid that something bad could happen to me,1
69,It is not important for me to meet set dates,1
70,I like to think clearly before giving my opinion,0
71,I use lies just to get out of certain problems,1
72,"If I have the opportunity to get in line to avoid wasting time, I do it",1
73,I have difficulty making elaborate plans,1
74,People have problems because of themselves,1
75,I do not find it important what others think about me.,1
76,Laws are not as important as others think,1
77,I would regret betraying a friend,0
78,I prefer that a negotiation supports the largest possible number of people involved,0
79,It is easy for me to work in a team,0
80,It is important to help people when they need it,0
81,I have punched someone or thought of doing it,1
82,If it was necessary I would pretend to be someone else to get something,1
83,I consider it important to ensure my physical safety and that of those around me,0
84,After an argument I usually go over what happened in my head,0
85,I have a hard time controlling myself when I get angry,1
86,Loyalty is important,0
87,If I can help a person I will stop what I'm doing to help him,0
88,Sometimes people need physical strength to understand,1
89,It makes me laugh when my superiors at school or at work demand something,1
90,Deceiving people is not wrong if it is to achieve something important,1
91,I like to greet my neighbors,0
92,It does not seem serious to me to have some debts,1
93,People steal because they have needs,1
94,I lose control easily,1
95,Neighbors must put up with each other's noises without complaining,1
96,Littering on public roads is wrong,0
97,People who commit crimes have their reasons for doing it,1
98,It is normal to change jobs several times a year,1
99,It is important to respect turns,0
100,I could pretend to be someone else to achieve what I want,1
101,I consider it important that all people have the same rights,0
102,"I have a hard time taking  ""no"" for an answer",1
